case_id,source_file,source_row,incident_date_claimed,observed_timestamp_utc,chain,txid,explorer_url,asset,amount_native,amount_usd_at_time,from_address,to_address,service_hint,service_confidence,role,evidence_file,status,current_owner_hypothesis,next_action,notes
william-crypto,/Users/alphab/Downloads/Stolen Crypto July 2021 - Summary.csv,15,2023-07-21,2023-07-21T18:55:47Z,ethereum,0x72d855932534ca55ae820f5ed17de8ac729b1f05b093352b5bca19dcf868f26f,https://etherscan.io/tx/0x72d855932534ca55ae820f5ed17de8ac729b1f05b093352b5bca19dcf868f26f,ETH,3.89,7358.87,0x2656269bb878ca0c4250a0df4c15a9cfca0c21ac,0x09066E7857D3a9a53c9142f8a7eFFcBc7989F1B5,FixedFloat,medium,victim-to-fixedfloat-related-address,,confirmed-source-row,"FixedFloat side path per source CSV and dossier, not service confirmed",send preservation request to FixedFloat and include in law enforcement packet,Main CSV date has no timezone. Normalized as UTC-04:00 because duplicate FixedFloat source rows align that way. Txid appears in the dossier FixedFloat related list.
william-crypto,/Users/alphab/Downloads/Stolen Crypto July 2021 - Summary.csv,16,2023-07-21,2023-07-21T14:13:59Z,ethereum,0xd5a730adbe95e809d765372997260dd7057e959399e9b41d415816218de3686d,https://etherscan.io/tx/0xd5a730adbe95e809d765372997260dd7057e959399e9b41d415816218de3686d,ETH,0.747,1413.13,0x2656269bb878ca0c4250a0df4c15a9cfca0c21ac,0xB7917eE3520C4AA56ADd5d55f6026EdeEBE99d02,possible FixedFloat staging,low,victim-to-common-staging-address,,confirmed-source-row,possible indirect FixedFloat staging based only on source narrative and repeated destination,validate before claiming service attribution,"Main CSV date has no timezone. Normalized as UTC-04:00 because duplicate FixedFloat source rows align that way. Repeated destination appears in several source rows, but no direct service label was in the parsed row."
william-crypto,/Users/alphab/Downloads/Stolen Crypto July 2021 - Summary.csv,17,2023-07-21,2023-07-21T14:11:59Z,ethereum,0x3f58b9738767a04a8d4701052cbfa378f7cdf9d8a0cfac34b43b0d62f766a7e8,https://etherscan.io/tx/0x3f58b9738767a04a8d4701052cbfa378f7cdf9d8a0cfac34b43b0d62f766a7e8,ETH,5.02,9496.53,0xFA5F6eD82Ae1EAC484B91cCDE42fe7d64cb68D03,0xB7917eE3520C4AA56ADd5d55f6026EdeEBE99d02,possible FixedFloat staging,low,victim-to-common-staging-address,,confirmed-source-row,possible indirect FixedFloat staging based only on source narrative and repeated destination,validate before claiming service attribution,"Main CSV date has no timezone. Normalized as UTC-04:00 because duplicate FixedFloat source rows align that way. Repeated destination appears in several source rows, but no direct service label was in the parsed row."
william-crypto,/Users/alphab/Downloads/Stolen Crypto July 2021 - Summary.csv,18,2023-07-21,2023-07-21T14:13:11Z,ethereum,0x85955c171d41591fb52b85f3e4135704f2afb4305ea9ceee1de1ba503703e7f1,https://etherscan.io/tx/0x85955c171d41591fb52b85f3e4135704f2afb4305ea9ceee1de1ba503703e7f1,ETH,2.814,5323.36,0xf40c09C782C74e932b81473ae68B078F31a358f6,0xB7917eE3520C4AA56ADd5d55f6026EdeEBE99d02,possible FixedFloat staging,low,victim-to-common-staging-address,,confirmed-source-row,possible indirect FixedFloat staging based only on source narrative and repeated destination,validate before claiming service attribution,"Main CSV date has no timezone. Normalized as UTC-04:00 because duplicate FixedFloat source rows align that way. Repeated destination appears in several source rows, but no direct service label was in the parsed row."
william-crypto,/Users/alphab/Downloads/Stolen Crypto July 2021 - Summary.csv,38,,,ethereum,0xaa49f832a539cabee457ca3fc2e3e47e70ca7e364ba48161aae8c4e788d07b33,https://etherscan.io/tx/0xaa49f832a539cabee457ca3fc2e3e47e70ca7e364ba48161aae8c4e788d07b33,ETH,,,,0x4E5B2e1dc63F6b91cb6Cd759936495434C7e972F,FixedFloat,medium,fixedfloat-related-source-tx,,source-only,"FixedFloat side path per source CSV, not independently verified here",validate tx details and include in FixedFloat preservation packet,Source CSV row 38 provides only an Etherscan tx URL under the FixedFloat section; timestamp and amount were not present.
william-crypto,/Users/alphab/Downloads/Stolen Crypto July 2021 - Summary.csv,42,2023-07-21,2023-07-21T19:15:47Z,ethereum,0x931ebd9671d532e81ef15211ce16e193615765747e4a906d9dabb278f792f2f3,https://etherscan.io/tx/0x931ebd9671d532e81ef15211ce16e193615765747e4a906d9dabb278f792f2f3,ETH,3.88,,0xa30E54Cb3593c6afCA653621C4D3Ee2105F015aa,0xbdC4b2D85d9DCC42C3799b4569bd1D7D25D29C03,FixedFloat,medium,fixedfloat-deposit-source-claim,,source-only,"FixedFloat deposit wallet per source CSV, not service confirmed",send preservation request to FixedFloat and seek law enforcement process for records,FixedFloat section row with explicit UTC time. Duplicates main source row 11.
william-crypto,/Users/alphab/Downloads/Stolen Crypto July 2021 - Summary.csv,43,2023-07-21,2023-07-21T14:06:00Z,ethereum,0x91a3d5976df4c7fb6d000a081855b4fc217d61d6e1b71f5c99205e7dc7c2f63f,https://etherscan.io/tx/0x91a3d5976df4c7fb6d000a081855b4fc217d61d6e1b71f5c99205e7dc7c2f63f,ETH,2.84,,0x055e6b081F175dB1170350Ba4f23E3a8E0895492,0x4EC986035B635D09474fC390AcDF5c107DDa4c70,FixedFloat,medium,fixedfloat-deposit-source-claim,,source-only,"FixedFloat deposit wallet per source CSV, not service confirmed",send preservation request to FixedFloat and seek law enforcement process for records,FixedFloat section row with explicit UTC time. Duplicates main source row 9.
william-crypto,/Users/alphab/Downloads/Stolen Crypto July 2021 - Summary.csv,44,2023-07-21,2023-07-21T18:55:47Z,ethereum,0x72d855932534ca55ae820f5ed17de8ac729b1f05b093352b5bca19dcf868f26f,https://etherscan.io/tx/0x72d855932534ca55ae820f5ed17de8ac729b1f05b093352b5bca19dcf868f26f,ETH,3.89,,0x2656269BB878cA0c4250A0DF4C15A9CFca0C21AC,0x09066E7857D3a9a53c9142f8a7eFFcBc7989F1B5,FixedFloat,medium,fixedfloat-deposit-source-claim,,source-only,"FixedFloat deposit wallet per source CSV, not service confirmed",send preservation request to FixedFloat and seek law enforcement process for records,FixedFloat section row with explicit UTC time. Duplicates main source row 15.
william-crypto,/Users/alphab/Downloads/Stolen Crypto July 2021 - Summary.csv,45,2023-07-22,2023-07-22T09:52:11Z,ethereum,0xb5e309a09f479a87f71b1258380d8b8e62c84163364b3b06762927c476c4d655,https://etherscan.io/tx/0xb5e309a09f479a87f71b1258380d8b8e62c84163364b3b06762927c476c4d655,ETH,0.82,,0x1c0b5b8D36587d0516839df7EbFB49AD8F3c543c,0x1c0b5b8D36587d0516839df7EbFB49AD8F3c543c,FixedFloat,medium,fixedfloat-deposit-source-claim,,source-only,"FixedFloat deposit wallet per source CSV, not service confirmed",send preservation request to FixedFloat and seek law enforcement process for records,FixedFloat section row with explicit UTC time. Duplicates main source row 6.
william-crypto,/Users/alphab/.mdx/research/william-monitoring-tooling-codex.md,monitoring:43,2023-07-21,2023-07-21T14:17:43Z,thorchain,655A2A55BC724718BCA78B7645347F448D1CA52B9F051AC3B6B8F2E36651D204,https://gateway.liquify.com/chain/thorchain_midgard/v2/actions?txid=655A2A55BC724718BCA78B7645347F448D1CA52B9F051AC3B6B8F2E36651D204,BTC,7.29622713,,0xaadd5f9d0fa1411f612d75336eee5eb87092f1f0,bc1qwxwl5l209je4c2ycr8hc7dq7jqfptk23esmn5s,THORChain,high,thorchain-swap-output-to-wasabi,/Users/alphab/.mdx/research/data/william-live-check-2026-05-25/midgard-actions-655A2A55BC724718BCA78B7645347F448D1CA52B9F051AC3B6B8F2E36651D204.json,success,BTC output to Wasabi deposit address,preserve Midgard response and include in evidence packet,Source CSV row 5 is the EVM input side. Midgard input was 125.44715147 ETH.ETH; output txid CA88B4956964E3D8BFDAE2800B48F4CB15F8CC52A8554B4BFA301A400805E053.
william-crypto,/Users/alphab/.mdx/research/william-monitoring-tooling-codex.md,monitoring:44,2023-07-21,2023-07-21T15:34:17Z,thorchain,40A3D546F349F9CF8E907B6676E6187AD01F24C76AD9D0B9D2958E8C9E059E2C,https://gateway.liquify.com/chain/thorchain_midgard/v2/actions?txid=40A3D546F349F9CF8E907B6676E6187AD01F24C76AD9D0B9D2958E8C9E059E2C,BTC,31.37643194,,0xeec35fd50b5e7344b3e1a7f4384b3cb9365e204a,bc1qwxwl5l209je4c2ycr8hc7dq7jqfptk23esmn5s,THORChain,high,thorchain-swap-output-to-wasabi,/Users/alphab/.mdx/research/data/william-live-check-2026-05-25/midgard-actions-40A3D546F349F9CF8E907B6676E6187AD01F24C76AD9D0B9D2958E8C9E059E2C.json,success,BTC output to Wasabi deposit address,preserve Midgard response and include in evidence packet,Source CSV rows 7 and 8 fund the EVM input address. Midgard input was 727.29568 ETH.ETH; output txid D40F9B8C207CFE8BDFF9D054A7C2BADF838DE47CB1CB65E0EDBA63200A677A89.
william-crypto,/Users/alphab/.mdx/research/william-crypto-case-dossier.md,monitoring:32;source_csv:52;derived,2023-07-21,2026-05-25T00:00:00Z,bitcoin,,https://blockstream.info/address/bc1qwxwl5l209je4c2ycr8hc7dq7jqfptk23esmn5s,BTC,40.70902128,,THORChain BTC outputs,bc1qwxwl5l209je4c2ycr8hc7dq7jqfptk23esmn5s,Wasabi,high,wasabi-deposit-address,/Users/alphab/.mdx/research/data/william-live-check-2026-05-25/blockstream-address-bc1qwxwl5l209je4c2ycr8hc7dq7jqfptk23esmn5s.json,spent,Wasabi coinjoin deposit address; downstream ownership unknown,preserve as BTC root and ask paid analytics to validate post-mix branch,Address funded total from Blockstream snapshot. No current balance in snapshot.
william-crypto,/Users/alphab/.mdx/research/william-crypto-case-dossier.md,monitoring:33;derived,2023-10-06,2026-05-25T00:00:00Z,bitcoin,,https://blockstream.info/address/bc1q9vl045g9ln6eu8vgh2r47zd4sustac9jrtjzdl,BTC,47.63611646,,Wasabi coinjoin privacy set,bc1q9vl045g9ln6eu8vgh2r47zd4sustac9jrtjzdl,unknown,low,low-confidence-demix-candidate,/Users/alphab/.mdx/research/data/william-live-check-2026-05-25/blockstream-address-bc1q9vl045g9ln6eu8vgh2r47zd4sustac9jrtjzdl.json,spent,"low confidence post-Wasabi candidate, not attribution",paid analytics validation before any preservation claim,Dossier caveat says this path must be described as low confidence.
william-crypto,/Users/alphab/.mdx/research/william-crypto-case-dossier.md,dossier:73;monitoring:34;derived,2023-10-19,2026-05-25T00:00:00Z,bitcoin,,https://blockstream.info/address/bc1qyt2747r9n3dpxq8rgt5e8pc0qy9q0cvcptt85g,BTC,6.49998534,,bc1q9vl045g9ln6eu8vgh2r47zd4sustac9jrtjzdl plus dust source,bc1qyt2747r9n3dpxq8rgt5e8pc0qy9q0cvcptt85g,unknown,medium,live-btc-utxo-address,/Users/alphab/.mdx/research/data/william-live-check-2026-05-25/blockstream-address-bc1qyt2747r9n3dpxq8rgt5e8pc0qy9q0cvcptt85g-latest.json,unspent,possible downstream candidate; still on chain,monitor independently and preserve spend event immediately if it moves,Snapshot shows two unspent outputs totaling 6.49998534 BTC; 294 sats are March 2026 dust noise.
william-crypto,/Users/alphab/.mdx/research/william-crypto-case-dossier.md,monitoring:33;derived,2023-10-06,2023-10-06T11:12:03Z,bitcoin,1962037495cfc6f39cd0c525b78fdcffddb98de34babdcf785b12208152e9bb2,https://blockstream.info/tx/1962037495cfc6f39cd0c525b78fdcffddb98de34babdcf785b12208152e9bb2,BTC,35.9704189,,bc1q9vl045g9ln6eu8vgh2r47zd4sustac9jrtjzdl,bc1qtvj76tqmhazw8dl5yx9ep9hs32xxlcletrf6p8,unknown,low,demix-candidate-consolidation,/Users/alphab/.mdx/research/data/william-live-check-2026-05-25/blockstream-tx-1962037495cfc6f39cd0c525b78fdcffddb98de34babdcf785b12208152e9bb2.json,spent,"low confidence candidate branch after Wasabi, not attribution",retain for paid analytics query; do not overstate linkage,Consolidates multiple inputs from bc1q9vl045g9ln6eu8vgh2r47zd4sustac9jrtjzdl to downstream candidate bc1qtvj76...; outspend snapshot shows it was spent.
william-crypto,/Users/alphab/.mdx/research/william-crypto-case-dossier.md,monitoring:36;derived,2024-06-22,2024-06-22T14:37:27Z,bitcoin,4d23a22853686456ae2d8345d0402182ac301bf5aa4010a1f04df90581c2bd8f,https://blockstream.info/tx/4d23a22853686456ae2d8345d0402182ac301bf5aa4010a1f04df90581c2bd8f,BTC,0.1,,bc1qtvj76tqmhazw8dl5yx9ep9hs32xxlcletrf6p8,bc1qjx7l6l4kq5gzv8r38lrvt9hu68x9ted3y54dv4,unknown,low,downstream-candidate-branch,/Users/alphab/.mdx/research/data/william-live-check-2026-05-25/blockstream-tx-4d23a22853686456ae2d8345d0402182ac301bf5aa4010a1f04df90581c2bd8f.json,spent,downstream candidate branch within low confidence path,retain branch evidence for analytics validation,"Input came from bc1qtvj76...; output 0 funded the probable Binance branch in tx 29575abd..., output 1 is a large change-like branch."
william-crypto,/Users/alphab/.mdx/research/william-crypto-case-dossier.md,dossier:73;derived,2023-10-19,2023-10-19T11:22:51Z,bitcoin,164f311dea5ac820de0b52677d0e3ce5673bad6e5a45df8d994513588505b187,https://blockstream.info/tx/164f311dea5ac820de0b52677d0e3ce5673bad6e5a45df8d994513588505b187,BTC,6.4999824,,bc1q9vl045g9ln6eu8vgh2r47zd4sustac9jrtjzdl,bc1qyt2747r9n3dpxq8rgt5e8pc0qy9q0cvcptt85g,unknown,medium,live-utxo-funding,/Users/alphab/.mdx/research/data/william-live-check-2026-05-25/blockstream-tx-164f311dea5ac820de0b52677d0e3ce5673bad6e5a45df8d994513588505b187.json,unspent,possible downstream candidate; current output remains unspent,monitor for any spend and preserve raw transaction if it moves,Funding tx from low confidence demix candidate to live UTXO address; outspend snapshot shows unspent.
william-crypto,/Users/alphab/.mdx/research/william-crypto-case-dossier.md,dossier:94;derived,2024-06-22,2024-06-22T14:51:25Z,bitcoin,29575abd53550ed73aa606eab43448c43790232388de7152081a322ffd355287,https://blockstream.info/tx/29575abd53550ed73aa606eab43448c43790232388de7152081a322ffd355287,BTC,0.09998037,,bc1qjx7l6l4kq5gzv8r38lrvt9hu68x9ted3y54dv4,17StnGroPUsNXBq4AVJQ1fqGftoFZh3zva,Binance cluster candidate,medium-high,probable-binance-branch,/Users/alphab/.mdx/research/data/william-live-check-2026-05-25/blockstream-tx-29575abd53550ed73aa606eab43448c43790232388de7152081a322ffd355287.json,spent,"probable Binance cluster branch, not official Binance confirmation","if paid analytics validates the Wasabi path, ask law enforcement to preserve Binance records","Blockstream snapshot block_time is 2024-06-22T14:51:25Z. Dossier prose states 2024-06-22 15:44:45 UTC, so preserve this discrepancy for review."
william-crypto,/Users/alphab/.mdx/research/william-crypto-case-dossier.md,dossier:154;derived,2026-03-11,2026-03-11T22:02:44Z,bitcoin,4fadadf21aa579fa6b2ee370c903b1220ce1c815598ddb3110b8a2087ebd83e5,https://blockstream.info/tx/4fadadf21aa579fa6b2ee370c903b1220ce1c815598ddb3110b8a2087ebd83e5,BTC,0.00000294,,bc1q7x6kj7lg9ls2g6s3wm644s5tuqkkg89dp5t532,bc1qyt2747r9n3dpxq8rgt5e8pc0qy9q0cvcptt85g,unknown dust source,low,march-2026-dust-noise,/Users/alphab/.mdx/research/data/william-live-check-2026-05-25/blockstream-tx-4fadadf21aa579fa6b2ee370c903b1220ce1c815598ddb3110b8a2087ebd83e5.json,unspent,"dust noise, not ownership attribution",record as noise; no outreach or interaction,294 sats dusted the live address from bc1q7x6...; dossier says this is not useful attribution.
william-crypto,/Users/alphab/.mdx/research/william-crypto-case-dossier.md,dossier:121;source_csv:38-45;derived,2023-07-21,,ethereum,0xaa49f832a539cabee457ca3fc2e3e47e70ca7e364ba48161aae8c4e788d07b33,https://etherscan.io/tx/0xaa49f832a539cabee457ca3fc2e3e47e70ca7e364ba48161aae8c4e788d07b33,ETH,,,source CSV FixedFloat section wallets,0x4E5B2e1dc63F6b91cb6Cd759936495434C7e972F,FixedFloat,medium,fixedfloat-side-path-summary,,source-supported,"FixedFloat preservation target, not customer attribution",send preservation request to FixedFloat and reserve formal data request for law enforcement,Supported by source CSV FixedFloat section and dossier. This summary row intentionally does not claim FixedFloat confirmed the wallets.
